Quiz_round,1,RESULT:,Steal1Goodness,Incorrect,,,,,,,,,
Quiz_round,2,RESULT:,-,allCorrect,,,,,,,,,
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
82,717906.1,0,0,3361,blue,FALSE,right,50,47,right,blue,901,0
83,721325.9,1,35,3326,blue,TRUE,left,41,35,left,blue,1083,0
84,724931.7,0,0,3326,blue,FALSE,left,9,62,left,blue,720,0
85,728170.6,0,0,3326,blue,FALSE,left,60,58,left,blue,968,0
86,731659.7,0,0,3326,blue,FALSE,left,88,31,left,blue,803,0
87,734986.3,0,0,3326,blue,FALSE,right,56,44,right,blue,776,0
88,738277.6,1,15,3311,blue,TRUE,right,31,15,right,blue,803,0
89,741608.5,0,0,3311,blue,FALSE,right,90,31,right,blue,518,0
90,744645.5,0,0,3311,blue,FALSE,left,80,76,left,blue,988,0
91,748151.8,0,0,3311,blue,FALSE,left,78,4,left,blue,573,0
92,751236.5,0,0,3311,blue,FALSE,right,60,28,right,blue,662,0
93,754419.6,1,99,3212,blue,TRUE,left,56,99,left,blue,495,0
94,761445.8,0,0,3212,blue,FALSE,right,31,45,right,blue,1429,0
95,765395.1,0,0,3212,blue,FALSE,left,55,16,left,blue,852,0
96,768767.7,1,89,3123,blue,TRUE,left,12,89,left,blue,851,0
97,772140.8,0,0,3123,blue,FALSE,left,49,4,left,blue,491,0
98,775154.7,0,0,3123,blue,FALSE,right,69,12,right,blue,749,0
99,778424.9,1,26,3097,blue,TRUE,right,49,26,right,blue,752,0
100,781697,0,0,3097,blue,FALSE,right,75,76,right,blue,585,0
101,784803.2,0,0,3097,blue,FALSE,right,22,90,right,blue,1004,0
102,788331.8,0,0,3097,blue,TRUE,right,26,23,left,orange,2136,0
103,792984.6,0,0,3097,blue,FALSE,right,11,68,right,blue,481,0
104,795988.4,1,82,3015,blue,TRUE,left,71,82,left,blue,2372,0
105,800879.6,1,86,2929,blue,FALSE,left,86,95,right,orange,1180,0
106,804581.2,0,0,2929,blue,FALSE,left,79,88,left,blue,751,0
107,807852.8,1,75,2854,blue,FALSE,right,75,40,left,orange,767,0
108,811143.1,0,0,2854,blue,FALSE,left,11,94,left,blue,561,0
109,814222.2,1,44,2810,blue,TRUE,left,53,44,left,blue,734,0
110,817480.3,0,0,2810,blue,FALSE,left,85,17,left,blue,502,0
111,820501.9,1,32,2778,blue,TRUE,right,85,32,right,blue,970,0
112,823993.6,0,0,2778,blue,FALSE,right,38,68,right,blue,813,0
113,827327.3,1,28,2750,blue,FALSE,right,28,93,left,orange,943,0
114,830795.3,0,0,2750,blue,FALSE,left,13,95,left,blue,1250,0
115,834565.9,0,0,2750,blue,FALSE,left,69,60,left,blue,521,0
116,837607.6,1,95,2655,blue,TRUE,right,56,95,right,blue,696,0
117,840829.2,0,0,2655,blue,FALSE,right,2,41,right,blue,1101,0
118,844449.2,0,0,2655,blue,FALSE,right,42,5,right,blue,409,0
119,847379.3,1,44,2611,blue,FALSE,left,44,30,right,orange,1057,0
120,850960.8,0,0,2611,blue,FALSE,right,79,4,right,blue,1034,0
121,854515.7,0,0,2611,blue,FALSE,left,83,87,left,blue,954,0
122,857987.5,0,0,2611,blue,FALSE,right,59,44,right,blue,513,0
123,861019.3,1,10,2601,blue,TRUE,right,15,10,right,blue,628,0
124,864171.2,0,0,2601,blue,FALSE,right,60,15,right,blue,830,0
125,867521,0,0,2601,blue,FALSE,right,73,25,right,blue,535,0
126,870573.1,0,0,2601,blue,FALSE,right,43,23,right,blue,554,0
127,873641.7,0,0,2601,blue,FALSE,right,22,87,right,blue,617,0
128,876776.7,1,77,2524,blue,TRUE,right,27,77,right,blue,479,0
129,879779.9,0,0,2524,blue,FALSE,right,99,35,right,blue,465,0
130,882764.1,1,39,2485,blue,TRUE,right,49,39,right,blue,420,0
131,885712.4,0,0,2485,blue,FALSE,right,83,60,right,blue,479,0
132,888707.6,1,54,2431,blue,TRUE,right,61,54,right,blue,444,0
133,891674.2,0,0,2431,blue,FALSE,right,82,34,right,blue,372,0
134,894568.2,0,0,2431,blue,FALSE,left,96,86,left,blue,1226,0
135,898319,0,0,2431,blue,FALSE,right,65,27,right,blue,609,0
136,901447.2,0,0,2431,blue,FALSE,left,63,93,left,blue,742,0
137,904709,0,0,2431,blue,FALSE,left,65,40,left,blue,489,0
138,907717,0,0,2431,blue,FALSE,left,7,69,left,blue,493,0
139,910728.9,1,28,2403,blue,TRUE,left,94,28,left,blue,435,0
140,913683.9,0,0,2403,blue,FALSE,right,90,4,right,blue,650,0
