Quiz_round,1,RESULT:,Steal2Goodness,Incorrect,,,,,,,,,
Quiz_round,2,RESULT:,Steal2Goodness,Incorrect,,,,,,,,,
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,147855,1,10,4990,blue,TRUE,right,23,10,right,blue,1785,0
2,152157,0,0,4990,blue,TRUE,left,45,97,right,orange,2010,0
3,156682,0,0,4990,blue,TRUE,left,54,62,right,orange,1016,0
4,160214,1,99,4891,blue,FALSE,left,99,16,right,orange,1374,0
5,164107,0,0,4891,blue,TRUE,left,72,40,right,orange,687,0
6,167309,0,0,4891,blue,TRUE,left,98,88,right,orange,849,0
7,170671,0,0,4891,blue,TRUE,left,6,54,right,orange,844,0
8,174032,0,0,4891,blue,TRUE,left,64,55,right,orange,640,0
9,177189,1,96,4795,blue,FALSE,right,96,45,left,orange,536,0
10,180244,0,0,4795,blue,TRUE,left,28,19,right,orange,594,0
11,183353,0,0,4795,blue,TRUE,right,95,26,left,orange,632,0
12,186499,0,0,4795,blue,TRUE,right,90,29,left,orange,522,0
13,189537,0,0,4795,blue,TRUE,right,20,53,left,orange,399,0
14,192452,0,0,4795,blue,TRUE,right,74,56,left,orange,522,0
15,195488,0,0,4795,blue,TRUE,left,18,42,right,orange,535,0
16,198547,0,0,4795,blue,TRUE,left,11,91,right,orange,420,0
17,201484,1,32,4763,blue,FALSE,right,32,31,left,orange,391,0
18,204390,0,0,4763,blue,TRUE,left,36,65,right,orange,446,0
19,207350,1,40,4723,blue,FALSE,left,40,30,right,orange,394,0
20,210264,0,0,4723,blue,TRUE,right,29,26,left,orange,409,0
21,213188,1,32,4691,blue,FALSE,right,32,36,left,orange,361,0
22,216064,0,0,4691,blue,TRUE,left,72,81,right,orange,377,0
23,218960,1,95,4596,blue,FALSE,right,95,54,left,orange,475,0
24,221952,1,40,4556,blue,FALSE,right,40,59,left,orange,425,0
25,224895,0,0,4556,blue,FALSE,left,29,24,left,blue,548,0
26,227959,0,0,4556,blue,FALSE,left,60,51,left,blue,456,0
27,230931,0,0,4556,blue,FALSE,right,83,65,right,blue,426,0
28,233873,1,98,4458,blue,TRUE,left,78,98,left,blue,479,0
29,236870,1,56,4402,blue,FALSE,right,56,51,left,orange,600,0
30,239987,0,0,4402,blue,FALSE,right,5,20,right,blue,436,0
31,242940,0,0,4402,blue,FALSE,left,67,2,left,blue,436,0
32,245892,0,0,4402,blue,FALSE,right,85,84,right,blue,456,0
33,248863,1,49,4353,blue,TRUE,right,7,49,right,blue,467,0
34,251848,0,0,4353,blue,FALSE,right,37,47,right,blue,467,0
35,254831,0,0,4353,blue,FALSE,left,27,91,left,blue,647,0
36,257992,0,0,4353,blue,FALSE,left,44,42,left,blue,457,0
37,260965,1,55,4298,blue,TRUE,left,31,55,left,blue,472,0
38,263956,0,0,4298,blue,FALSE,left,97,70,left,blue,504,0
39,266976,0,0,4298,blue,FALSE,right,14,9,right,blue,476,0
40,269967,1,51,4247,blue,TRUE,right,23,51,right,blue,494,0
41,272978,0,0,4247,blue,TRUE,right,89,79,left,orange,523,0
42,276014,0,0,4247,blue,TRUE,left,83,86,right,orange,452,0
43,278981,0,0,4247,blue,TRUE,right,40,62,left,orange,444,0
44,281941,0,0,4247,blue,TRUE,left,36,23,right,orange,476,0
45,284935,0,0,4247,blue,TRUE,right,65,61,left,orange,536,0
46,287986,0,0,4247,blue,TRUE,left,74,67,right,orange,432,0
47,290932,0,0,4247,blue,TRUE,right,73,41,left,orange,440,0
48,297889,1,96,4151,blue,FALSE,left,96,54,right,orange,1857,0
49,302260,0,0,4151,blue,TRUE,left,86,88,right,orange,389,0
50,305166,0,0,4151,blue,TRUE,right,43,66,left,orange,898,0
51,308578,0,0,4151,blue,TRUE,right,72,79,left,orange,466,0
52,311559,1,71,4080,blue,FALSE,right,71,13,left,orange,454,0
53,314531,0,0,4080,blue,TRUE,right,78,53,left,orange,455,0
54,317501,0,0,4080,blue,TRUE,left,57,90,right,orange,387,0
55,320405,1,3,4077,blue,FALSE,right,3,12,left,orange,501,0
56,323420,0,0,4077,blue,TRUE,left,2,64,right,orange,378,0
57,326313,0,0,4077,blue,TRUE,left,99,9,right,orange,1207,0
58,330033,0,0,4077,blue,TRUE,right,21,42,left,orange,688,0
59,333237,0,0,4077,blue,TRUE,left,83,72,right,orange,790,0
60,336542,0,0,4077,blue,TRUE,left,37,11,right,orange,621,0
