Quiz_round,1,RESULT:,Steal2Goodness,Incorrect,,,,,,,,,
Quiz_round,2,RESULT:,-,allCorrect,,,,,,,,,
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,170817.98,0,0,5000,blue,TRUE,left,23,10,right,orange,1837,0
2,175230.295,0,0,5000,blue,TRUE,left,45,97,right,orange,899,0
3,178672.635,0,0,5000,blue,TRUE,left,54,62,right,orange,861,0
4,182073.55,0,0,5000,blue,FALSE,right,99,16,right,blue,1924,0
5,186541.935,0,0,5000,blue,TRUE,right,72,40,left,orange,2494,0
6,191581.79,0,0,5000,blue,TRUE,right,98,88,left,orange,1094,0
7,195205.88,0,0,5000,blue,TRUE,left,6,54,right,orange,2750,0
8,200493.38,0,0,5000,blue,TRUE,left,64,55,right,orange,555,0
9,203585.52,1,96,4904,blue,FALSE,right,96,45,left,orange,2194,0
10,208333.37,1,19,4885,blue,TRUE,left,28,19,left,blue,1927,0
11,212800.38,0,0,4885,blue,TRUE,right,95,26,left,orange,976,0
12,216334.425,0,0,4885,blue,TRUE,right,90,29,left,orange,1405,0
13,220276.3,0,0,4885,blue,TRUE,left,20,53,right,orange,1610,0
14,224422.365,0,0,4885,blue,TRUE,left,74,56,right,orange,992,0
15,227955.925,0,0,4885,blue,TRUE,left,18,42,right,orange,1164,0
16,231661.52,0,0,4885,blue,TRUE,left,11,91,right,orange,1943,0
17,236130.445,1,32,4853,blue,FALSE,left,32,31,right,orange,840,0
18,239524.005,0,0,4853,blue,TRUE,left,36,65,right,orange,917,0
19,242990.95,1,40,4813,blue,FALSE,left,40,30,right,orange,840,0
20,246387.02,0,0,4813,blue,TRUE,right,29,26,left,orange,1038,0
21,249953.61,1,32,4781,blue,FALSE,right,32,36,left,orange,474,0
22,252971.265,1,81,4700,blue,TRUE,right,72,81,right,blue,713,0
23,256229.655,1,95,4605,blue,FALSE,right,95,54,left,orange,725,0
24,259492.335,0,0,4605,blue,FALSE,right,40,59,right,blue,676,0
25,262697.985,0,0,4605,blue,FALSE,right,29,24,right,blue,444,0
26,265674.49,0,0,4605,blue,FALSE,left,60,51,left,blue,837,0
27,269059.43,0,0,4605,blue,FALSE,left,83,65,left,blue,697,0
28,272293.735,1,98,4507,blue,TRUE,right,78,98,right,blue,992,0
29,275848.065,0,0,4507,blue,FALSE,left,56,51,left,blue,842,0
30,279228.92,0,0,4507,blue,FALSE,right,5,20,right,blue,763,0
31,282524.36,0,0,4507,blue,FALSE,left,67,2,left,blue,546,0
32,285618.585,0,0,4507,blue,FALSE,right,85,84,right,blue,593,0
33,288751.39,1,49,4458,blue,TRUE,left,7,49,left,blue,617,0
34,291919.32,0,0,4458,blue,FALSE,right,37,47,right,blue,1060,0
35,295519.78,0,0,4458,blue,FALSE,left,27,91,left,blue,426,0
36,298482.915,0,0,4458,blue,FALSE,left,44,42,left,blue,438,0
37,301454.395,1,55,4403,blue,TRUE,right,31,55,right,blue,477,0
38,304479.24,0,0,4403,blue,FALSE,left,97,70,left,blue,400,0
39,307411.175,0,0,4403,blue,FALSE,left,14,9,left,blue,450,0
40,310390.3,1,51,4352,blue,TRUE,left,23,51,left,blue,412,0
41,313353.275,1,79,4273,blue,TRUE,left,89,79,left,blue,424,0
42,316316.59,0,0,4273,blue,TRUE,right,83,86,left,orange,723,0
43,319577.795,0,0,4273,blue,TRUE,left,40,62,right,orange,511,0
44,322617.07,0,0,4273,blue,TRUE,left,36,23,right,orange,590,0
45,325744.76,0,0,4273,blue,TRUE,left,65,61,right,orange,440,0
46,328720.43,0,0,4273,blue,TRUE,right,74,67,left,orange,476,0
47,331743.94,0,0,4273,blue,TRUE,left,73,41,right,orange,689,0
48,338994.63,0,0,4273,blue,FALSE,right,96,54,right,blue,1492,0
49,343025.535,1,88,4185,blue,TRUE,left,86,88,left,blue,387,0
50,345949.795,1,66,4119,blue,TRUE,right,43,66,right,blue,486,0
51,348977.685,1,79,4040,blue,TRUE,left,72,79,left,blue,382,0
52,351900.17,1,71,3969,blue,FALSE,right,71,13,left,orange,459,0
53,354896.475,0,0,3969,blue,TRUE,left,78,53,right,orange,462,0
54,357896.56,0,0,3969,blue,TRUE,right,57,90,left,orange,347,0
55,360775.575,1,3,3966,blue,FALSE,right,3,12,left,orange,464,0
56,363786.69,1,64,3902,blue,TRUE,left,2,64,left,blue,552,0
